-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1001.0    117   16.4   13.3     82   9.67    340      4  289.5  316.9  291.1
 1000.0    121   16.4   13.7     84   9.94     15      4  289.6  317.7  291.3
  997.0    147   15.8   14.3     91  10.38     19      4  289.2  318.5  291.0
  978.0    310   13.8   13.3     97   9.90     42      5  288.8  316.7  290.5
  967.0    406   12.8   12.8    100   9.69     56      5  288.7  316.0  290.4
  945.0    599   11.8   11.8    100   9.28     84      6  289.6  315.9  291.2
  932.0    716   11.2    9.2     87   7.89    101      7  290.1  312.7  291.5
  926.0    770   12.0    9.0     82   7.84    109      7  291.5  314.0  292.9
  925.0    779   12.0    9.2     83   7.95    110      7  291.6  314.4  293.0
  924.0    788   12.2    9.9     86   8.35    110      7  291.9  315.9  293.3
  921.0    815   12.0   10.2     89   8.55    110      7  291.9  316.5  293.4
  911.0    907   11.8    8.9     82   7.91    110      7  292.6  315.5  294.0
  908.0    935   11.6    9.1     85   8.05    110      7  292.7  316.0  294.1
  906.0    953   11.4    7.7     78   7.33    110      7  292.7  313.9  294.0
  905.0    962   11.4    7.7     78   7.33    110      7  292.8  314.1  294.1
  885.0   1149   10.0    7.4     84   7.35    110      6  293.2  314.6  294.5
  873.0   1262    9.2    6.1     81   6.81    110      6  293.5  313.4  294.7
  857.0   1415    8.0    5.6     85   6.70    110      6  293.8  313.4  295.0
  851.0   1473    7.8    4.5     80   6.24    110      6  294.2  312.5  295.3
  850.0   1483    7.6    4.4     80   6.20    110      6  294.1  312.3  295.2
  846.0   1522    7.4    4.7     83   6.37    110      6  294.3  313.0  295.4
  827.0   1709    6.2    2.2     76   5.45    112      6  294.9  311.1  295.9
  819.0   1788    5.4    2.6     82   5.67    112      6  294.9  311.7  295.9
  811.0   1869    4.8    1.6     80   5.33    113      6  295.1  310.9  296.0
  795.0   2031    4.0    1.2     82   5.28    114      6  295.9  311.7  296.9
  783.0   2155    3.2   -1.1     73   4.53    115      6  296.4  310.0  297.2
  768.0   2312    2.6   -1.0     77   4.65    124      7  297.4  311.4  298.2
  765.0   2343    2.6   -1.1     77   4.64    126      8  297.7  311.7  298.5
  743.0   2578    0.8   -2.4     80   4.35    140     10  298.2  311.4  299.0
  730.0   2720   -0.3   -3.1     81   4.19    140     14  298.5  311.3  299.3
  724.0   2786   -0.7   -3.9     79   3.98    140     17  298.8  310.9  299.5
  714.0   2897   -1.6   -3.6     86   4.11    140     20  299.0  311.6  299.7
  704.0   3010   -2.5   -3.4     94   4.25    136     19  299.2  312.2  300.0
  700.0   3055   -2.7   -3.8     92   4.14    135     18  299.5  312.1  300.2
  696.0   3101   -2.7   -5.4     82   3.69    132     18  299.9  311.4  300.6
  692.0   3146   -2.9   -5.0     85   3.83    129     18  300.2  312.0  300.9
  686.0   3215   -3.3   -6.0     82   3.58    125     18  300.5  311.6  301.2
  683.0   3250   -3.5   -6.5     80   3.46    125     18  300.7  311.4  301.3
  674.0   3355   -4.5   -6.8     84   3.42    127     17  300.7  311.4  301.3
  669.0   3413   -4.9   -7.5     82   3.27    127     17  300.9  311.1  301.5
  659.0   3532   -5.9   -7.1     91   3.42    129     16  301.1  311.7  301.7
  658.0   3544   -5.9   -7.1     91   3.43    129     16  301.2  311.9  301.8
  656.0   3568   -6.1   -8.4     84   3.11    129     15  301.2  311.0  301.8
  655.0   3580   -5.9  -10.9     68   2.55    130     15  301.6  309.7  302.1
  652.0   3616   -6.0  -12.0     63   2.35    130     15  301.9  309.4  302.3
  649.0   3652   -6.1  -13.1     58   2.16    128     15  302.2  309.1  302.6
  643.0   3724   -6.5  -10.7     72   2.64    125     16  302.5  310.9  303.0
  640.0   3761   -6.5  -11.5     68   2.49    123     16  302.9  310.9  303.4
  635.0   3822   -6.7  -13.7     57   2.10    120     16  303.4  310.1  303.8
  631.0   3872   -7.1  -14.1     57   2.05    118     16  303.5  310.1  303.8
  628.0   3909   -7.5  -11.6     72   2.52    116     16  303.4  311.5  303.9
  626.0   3934   -7.5  -12.0     70   2.45    115     16  303.7  311.5  304.1
  617.0   4046   -8.4  -11.9     76   2.50    110     17  303.9  311.9  304.4
  614.0   4084   -8.7  -11.9     78   2.51    110     17  304.0  312.1  304.5
  612.0   4109   -8.7  -12.4     75   2.43    110     17  304.3  312.1  304.7
  611.0   4122   -8.7  -12.6     73   2.39    112     17  304.4  312.1  304.9
  604.0   4211   -9.5  -13.0     76   2.34    125     17  304.5  312.0  304.9
  599.0   4276  -10.1  -13.3     77   2.30    126     18  304.5  311.9  305.0
  596.0   4314  -10.3  -14.1     74   2.17    127     19  304.7  311.8  305.1
  594.0   4340  -10.3  -16.3     61   1.81    127     19  305.0  311.0  305.4
  589.0   4405  -10.3  -23.3     34   1.00    129     20  305.8  309.2  305.9
  583.0   4484  -10.9  -21.6     41   1.17    130     21  306.0  309.9  306.2
  581.0   4511  -11.1  -21.1     44   1.23    129     21  306.0  310.2  306.3
  575.0   4590  -11.5  -23.5     36   1.01    126     21  306.5  309.9  306.7
  565.0   4725  -12.3  -25.0     34   0.90    120     20  307.1  310.2  307.2
  560.0   4793  -12.7  -25.7     33   0.85    121     20  307.4  310.3  307.5
  558.0   4820  -12.7  -27.7     27   0.71    122     20  307.7  310.2  307.8
  555.0   4861  -12.7  -26.7     30   0.78    122     21  308.2  310.9  308.3
  549.0   4944  -12.9  -30.9     21   0.53    124     21  308.9  310.8  309.0
  545.0   5000  -13.2  -32.8     18   0.45    125     21  309.1  310.8  309.2
  539.0   5084  -13.7  -35.7     14   0.34    123     22  309.6  310.8  309.6
  538.0   5098  -13.7  -35.7     14   0.34    122     22  309.7  311.0  309.8
  528.0   5240  -14.7  -35.7     15   0.35    119     23  310.2  311.5  310.2
  518.0   5385  -16.1  -30.1     29   0.61    115     24  310.2  312.4  310.3
  511.0   5487  -16.9  -29.9     31   0.63    119     24  310.4  312.7  310.6
  500.0   5650  -18.3  -36.3     19   0.35    125     25  310.7  311.9  310.7
  499.0   5665  -18.3  -36.3     19   0.35    126     25  310.8  312.1  310.9
  498.0   5680  -18.5  -32.5     28   0.50    126     25  310.8  312.6  310.9
  497.0   5695  -18.5  -25.5     54   0.97    127     25  311.0  314.3  311.1
  496.0   5710  -18.7  -23.6     65   1.16    127     25  310.9  314.9  311.1
  492.0   5770  -19.3  -22.8     74   1.25    129     25  310.9  315.2  311.1
  486.0   5861  -20.1  -23.2     76   1.22    133     26  311.0  315.2  311.2
  483.0   5907  -20.5  -24.3     72   1.11    134     26  311.0  314.9  311.2
  482.0   5923  -20.5  -26.4     59   0.92    135     26  311.2  314.4  311.4
  481.0   5938  -20.5  -28.5     49   0.76    135     26  311.4  314.1  311.6
  480.0   5953  -20.5  -29.5     44   0.70    135     26  311.6  314.1  311.7
  478.0   5984  -20.7  -28.7     49   0.75    134     27  311.7  314.4  311.9
  474.0   6046  -21.1  -31.1     40   0.61    133     27  312.0  314.1  312.1
  473.0   6062  -21.3  -29.3     49   0.72    133     27  311.9  314.5  312.1
  470.0   6109  -21.5  -28.5     53   0.78    133     28  312.2  315.0  312.4
  467.0   6156  -21.7  -29.7     48   0.70    132     28  312.6  315.1  312.7
  465.0   6188  -21.9  -33.9     33   0.47    132     29  312.7  314.4  312.8
  459.0   6283  -22.5  -32.5     40   0.55    131     30  313.1  315.1  313.2
  456.0   6331  -22.8  -33.5     37   0.50    130     30  313.3  315.1  313.4
  455.0   6347  -22.9  -33.9     36   0.48    131     30  313.4  315.1  313.5
  454.0   6364  -22.7  -37.7     24   0.33    132     30  313.8  315.1  313.9
  452.0   6396  -22.9  -34.9     33   0.44    134     30  314.0  315.6  314.1
  446.0   6494  -23.5  -34.3     36   0.47    140     29  314.4  316.2  314.5
  442.0   6560  -23.9  -33.9     39   0.50    140     29  314.7  316.6  314.8
  439.0   6609  -24.3  -35.3     35   0.43    140     29  314.8  316.4  314.9
  433.0   6709  -25.1  -35.1     39   0.45    140     30  315.1  316.7  315.1
  429.0   6777  -25.7  -33.7     47   0.52    140     30  315.1  317.0  315.2
  427.0   6811  -25.9  -34.9     43   0.46    140     30  315.3  317.0  315.4
  423.0   6879  -26.5  -35.5     42   0.44    140     30  315.4  317.1  315.5
  417.0   6982  -27.3  -36.3     42   0.41    131     30  315.6  317.2  315.7
