72357 OUN Norman Observations at 00Z 21 May 2013
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------                                    
  964.0    345   22.4   18.6     79  14.19      0      0  298.7  340.2  301.2
  952.0    455   22.2   18.2     78  14.01     66      7  299.5  340.7  302.1
  943.0    538   22.2   18.1     78  14.06    117     12  300.3  341.8  302.9
  939.0    575   22.8   18.3     76  14.30    139     15  301.3  343.6  303.9
  935.3    610   23.9   17.3     66  13.43    160     17  302.8  342.8  305.2
  933.0    632   24.6   16.6     61  12.90    161     17  303.7  342.3  306.1
  925.0    708   24.8   14.8     54  11.57    165     18  304.7  339.5  306.8
  922.0    737   24.8   15.8     57  12.39    166     19  304.9  342.2  307.2
  919.0    765   24.6   15.6     57  12.27    166     20  305.0  342.0  307.3
  903.5    914   23.1   16.2     65  12.97    170     26  304.9  343.9  307.3
  885.0   1095   21.2   16.9     76  13.88    176     27  304.8  346.5  307.3
  876.0   1183   20.4   17.1     81  14.21    179     27  304.9  347.5  307.5
  872.4   1219   20.3   16.5     79  13.68    180     27  305.1  346.2  307.6
  850.0   1444   19.4   12.4     64  10.75    185     25  306.4  339.1  308.4
  844.0   1505   19.4   11.4     60  10.13    187     24  307.1  338.0  308.9
  812.7   1829   16.6    8.6     59   8.67    195     18  307.4  334.0  309.0
  811.0   1847   16.4    8.4     59   8.60    196     18  307.4  333.8  309.0
  784.0   2134   13.9    9.0     73   9.29    210     13  307.7  336.2  309.4
  781.0   2166   13.6    9.1     74   9.37    212     13  307.7  336.4  309.5
  764.0   2352   12.6    6.6     67   8.06    221     12  308.6  333.5  310.1
  758.0   2418   12.6    0.6     44   5.30    224     12  309.3  326.0  310.3
  756.2   2438   12.5    0.2     43   5.17    225     12  309.4  325.7  310.4
  745.0   2563   11.8   -2.2     38   4.39    231     14  309.9  323.9  310.8
  735.0   2676   10.8   -3.2     37   4.13    237     17  310.1  323.3  310.8
  729.1   2743   10.3   -2.4     41   4.41    240     18  310.2  324.3  311.0
  717.0   2882    9.2   -0.8     50   5.06    240     23  310.5  326.6  311.4
  700.0   3080    7.8   -2.2     49   4.67    240     29  311.1  326.0  312.0
  693.0   3163    7.0   -4.0     45   4.12    242     31  311.1  324.4  311.9
  677.1   3353    6.1   -8.2     35   3.05    245     34  312.1  322.1  312.7
  669.0   3452    5.6  -10.4     31   2.60    245     36  312.7  321.3  313.2
  652.1   3658    4.2  -12.6     28   2.23    245     41  313.4  320.9  313.8
  604.8   4267    0.2  -19.3     22   1.38    245     57  315.6  320.4  315.8
  595.0   4399   -0.7  -20.7     20   1.24    245     58  316.0  320.4  316.3
  582.0   4572   -2.1  -22.0     20   1.14    245     59  316.4  320.4  316.6
  559.8   4877   -4.6  -24.2     20   0.97    250     58  317.0  320.5  317.2
  500.0   5760  -11.7  -30.7     19   0.60    250     64  318.7  320.9  318.8
  478.3   6096  -14.4  -33.4     18   0.48    250     63  319.4  321.2  319.5
  455.0   6474  -17.5  -36.5     17   0.37    249     63  320.1  321.6  320.2
  435.0   6809  -19.3  -37.3     19   0.36    247     64  322.0  323.4  322.1
  430.0   6895  -18.7  -36.7     19   0.39    247     64  323.8  325.3  323.9
  410.0   7248  -21.5  -39.5     18   0.30    246     64  324.7  325.9  324.7
  400.0   7430  -21.9  -39.9     18   0.30    245     64  326.4  327.6  326.5
  396.0   7504  -22.3  -40.3     18   0.29    245     64  326.9  328.0  326.9
  389.6   7620  -23.3  -41.3     18   0.27    245     65  327.1  328.2  327.2
  373.3   7925  -25.8  -43.8     17   0.21    250     62  327.8  328.7  327.9
  314.7   9144  -35.8  -53.8     14   0.08    245     73  330.2  330.5  330.2
  307.0   9321  -37.3  -55.3     14   0.07    245     74  330.5  330.8  330.5
  300.0   9480  -38.3  -54.3     17   0.08    245     75  331.3  331.6  331.3
  288.1   9754  -40.1  -53.1     24   0.10    245     76  332.5  332.9  332.5
  277.0  10022  -41.9  -51.9     33   0.11    239     79  333.7  334.2  333.7
  266.0  10295  -42.5  -51.5     37   0.13    233     82  336.7  337.3  336.8
  251.6  10668  -45.4  -53.5     40   0.10    225     86  337.9  338.3  337.9
  250.0  10710  -45.7  -53.7     40   0.10    220     84  338.0  338.4  338.0
  246.0  10818  -46.3  -54.3     40   0.10    219     83  338.6  339.1  338.7
  236.0  11093  -47.5  -55.5     39   0.09    217     82  340.9  341.3  340.9
  212.0  11796  -52.3  -60.3     37   0.05    213     79  344.0  344.3  344.0
  200.0  12170  -55.9  -63.9     36   0.04    210     77  344.1  344.2  344.1
  191.0  12460  -58.7  -65.7     40   0.03    214     73  344.1  344.3  344.1
  189.9  12497  -58.5  -65.5     40   0.03    215     73  345.0  345.1  345.0
  186.0  12627  -57.9  -64.9     40   0.03    215     77  348.1  348.2  348.1
  173.0  13080  -60.7  -67.7     39   0.02    215     93  350.7  350.8  350.7
  172.3  13106  -60.4  -67.5     39   0.03    215     93  351.6  351.8  351.6
  162.0  13492  -56.1  -64.1     36   0.04    215     63  365.1  365.3  365.1
  157.0  13691  -55.9  -63.9     36   0.05    215     47  368.7  368.9  368.7
  156.4  13716  -56.1  -64.1     36   0.04    215     45  368.9  369.1  368.9
  154.0  13813  -56.7  -64.7     36   0.04    224     42  369.4  369.6  369.4
  150.0  13980  -55.5  -63.5     36   0.05    240     36  374.2  374.5  374.3
  149.0  14021  -55.6  -63.8     35   0.05    230     35  374.7  375.0  374.7
  144.0  14240  -56.3  -65.3     31   0.04    241     31  377.2  377.5  377.3
  142.0  14326  -57.0  -65.9     32   0.04    245     30  377.5  377.7  377.5
  129.0  14930  -61.9  -69.9     34   0.02    230     22  379.2  379.4  379.2
  128.9  14935  -61.9  -69.9     33   0.02    230     22  379.4  379.5  379.4
  126.0  15077  -60.3  -69.3     30   0.03    218     21  384.7  384.8  384.7
  122.7  15240  -61.2  -70.0     30   0.02    205     20  385.9  386.0  385.9
  116.8  15545  -63.0  -71.4     31   0.02    205     25  388.1  388.2  388.1
  112.0  15805  -64.5  -72.5     32   0.02    205     25  390.0  390.1  390.0
  111.2  15850  -64.2  -72.2     33   0.02    215     27  391.3  391.4  391.4
  109.0  15971  -63.5  -71.5     33   0.02    225     26  394.9  395.1  394.9
  107.0  16085  -64.1  -72.1     33   0.02    235     24  395.9  396.0  395.9
  105.0  16201  -63.5  -71.5     33   0.02    245     23  399.2  399.3  399.2
  100.0  16500  -64.3  -72.3     33   0.02    270     20  403.2  403.4  403.2
   95.5  16782  -62.9  -71.9     29   0.02    253     19  411.3  411.4  411.3
   78.2  18004  -65.3  -73.3     32   0.02    178     12  430.5  430.6  430.5
   74.6  18288  -64.5  -72.9     31   0.03    160     11  438.0  438.2  438.0
   70.0  18680  -63.3  -72.3     29   0.03    110      9  448.6  448.8  448.6
   68.6  18805  -63.1  -72.1     29   0.03    113      8  451.6  451.9  451.7
   64.0  19232  -63.7  -72.7     28   0.03    125      5  459.4  459.6  459.4
   58.7  19760  -66.7  -75.7     27   0.02    139      1  464.1  464.3  464.1
   58.2  19812  -66.0  -75.2     27   0.02    140      1  466.7  466.9  466.7
   54.7  20193  -61.3  -71.3     25   0.05    105      5  486.0  486.3  486.0
   50.0  20750  -62.7  -72.7     25   0.04     55     12  495.3  495.6  495.3
   47.8  21031  -63.9  -73.9     24   0.04     80     17  499.0  499.2  499.0
   47.4  21077  -64.1  -74.1     24   0.04     86     17  499.6  499.8  499.6
   45.5  21336  -61.8  -72.3     23   0.05    120     15  511.2  511.5  511.2
   43.6  21593  -59.5  -70.5     23   0.07    112      7  522.9  523.4  522.9
   43.3  21641  -59.4  -70.4     22   0.07    110      5  524.4  524.9  524.4
   41.2  21946  -58.4  -70.0     21   0.07     90     11  534.1  534.6  534.1
   39.3  22250  -57.5  -69.5     20   0.08     65     13  544.0  544.6  544.0
   39.3  22244  -57.5  -69.5     20   0.08     65     13  543.7  544.3  543.7
   37.4  22555  -54.6  -68.1     17   0.11     80     15  558.6  559.5  558.7
   36.7  22679  -53.5  -67.5     17   0.12     70     16  564.7  565.6  564.8
   35.7  22860  -53.0  -67.0     17   0.13     55     18  570.7  571.7  570.7
   35.2  22948  -52.7  -66.7     17   0.14     56     20  573.6  574.6  573.6
   34.0  23165  -53.3  -67.5     16   0.13     60     26  577.5  578.5  577.5
   30.0  23970  -55.7  -70.7     14   0.09    130     14  592.2  593.0  592.2
