72426 ILN Wilmington Observations at 00Z 28 May 2019
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------                                    
  974.0    317   25.8   18.8     65  14.23    195      6  301.2  343.3  303.8
  947.0    569   23.6   16.6     65  12.70    199     14  301.4  339.1  303.7
  942.6    610   23.2   16.4     66  12.60    200     15  301.4  338.8  303.7
  925.0    778   21.6   15.6     69  12.19    195     14  301.4  337.5  303.6
  910.6    914   20.4   14.9     71  11.84    215     13  301.5  336.6  303.6
  892.0   1092   18.8   14.0     74  11.39    230     19  301.6  335.5  303.7
  879.0   1219   18.3   12.3     68  10.30    240     23  302.4  333.1  304.2
  868.0   1327   17.8   10.8     64   9.45    240     23  303.0  331.4  304.7
  850.0   1506   16.4   10.4     68   9.40    240     23  303.3  331.6  305.0
  818.2   1829   14.3    8.3     67   8.46    255     26  304.4  330.0  305.9
  811.0   1904   13.8    7.8     67   8.25    256     26  304.6  329.7  306.2
  805.0   1967   13.8    5.8     58   7.23    257     25  305.3  327.4  306.6
  789.1   2134   12.3    4.3     58   6.66    260     24  305.5  326.0  306.7
  781.0   2221   11.6    3.6     58   6.38    260     25  305.6  325.2  306.8
  775.0   2286   11.0    5.0     66   7.10    260     25  305.6  327.4  306.9
  760.9   2438   10.0    3.6     64   6.54    260     27  306.1  326.3  307.3
  742.0   2647    8.6    1.6     61   5.82    263     26  306.8  324.9  307.9
  737.0   2703    8.6   -2.4     46   4.37    264     26  307.4  321.2  308.2
  733.4   2743    8.3   -0.8     53   4.95    265     26  307.5  323.0  308.4
  726.0   2827    7.6    2.6     71   6.40    264     28  307.6  327.5  308.8
  718.0   2919    7.4   -2.6     49   4.42    263     30  308.4  322.4  309.2
  702.0   3104    6.2   -1.8     57   4.80    260     34  309.1  324.2  310.0
  700.0   3127    6.2   -1.8     57   4.81    260     35  309.3  324.6  310.2
  686.0   3293    5.6   -8.4     36   2.97    262     35  310.4  320.1  311.0
  655.9   3658    3.4  -12.1     31   2.33    265     35  312.0  319.7  312.4
  645.0   3794    2.6  -13.4     30   2.12    265     36  312.6  319.6  313.0
  632.0   3958    1.8  -21.2     16   1.12    265     38  313.5  317.4  313.7
  608.1   4267   -0.8  -16.4     30   1.76    265     41  313.9  319.9  314.3
  600.0   4374   -1.7  -14.7     36   2.05    266     43  314.1  321.0  314.5
  580.0   4643   -3.5  -29.5     11   0.58    268     47  315.1  317.2  315.2
  570.0   4780   -4.7  -32.7      9   0.43    269     49  315.2  316.8  315.3
  563.0   4877   -5.4  -28.9     14   0.63    270     50  315.5  317.8  315.6
  550.0   5060   -6.7  -21.7     29   1.23    270     52  316.1  320.4  316.3
  541.5   5182   -7.3  -20.0     36   1.45    270     54  316.8  321.8  317.0
  539.0   5218   -7.5  -19.5     38   1.52    270     53  317.0  322.2  317.2
  527.0   5393   -8.3  -24.3     26   1.02    270     51  318.0  321.7  318.2
  521.0   5482   -8.5  -39.5      6   0.24    270     50  318.8  319.8  318.9
  509.0   5662   -8.9  -34.9     10   0.39    270     47  320.5  322.0  320.6
  506.0   5708   -9.1  -28.1     20   0.75    270     46  320.8  323.5  320.9
  503.0   5754   -9.7  -17.7     52   1.90    270     46  320.6  327.2  321.0
  502.0   5769   -9.9  -16.9     57   2.04    270     45  320.5  327.6  320.9
  500.0   5800   -9.9  -16.9     57   2.05    270     45  320.9  328.0  321.3
  498.0   5831  -10.1  -17.1     57   2.02    270     45  321.0  328.0  321.4
  494.0   5893  -10.3  -20.3     44   1.55    270     44  321.5  327.0  321.8
  482.0   6082  -11.7  -23.7     36   1.18    270     43  322.1  326.3  322.3
  481.1   6096  -11.8  -23.4     38   1.22    270     43  322.1  326.4  322.3
  476.0   6177  -12.5  -21.5     47   1.45    271     43  322.2  327.4  322.5
  457.0   6486  -15.3  -22.3     55   1.41    276     43  322.5  327.5  322.8
  446.0   6670  -15.7  -30.7     26   0.67    279     43  324.2  326.8  324.4
  444.0   6704  -16.1  -28.1     35   0.86    280     43  324.2  327.3  324.3
  436.0   6840  -17.1  -29.1     35   0.80    282     43  324.6  327.5  324.7
  431.0   6927  -17.7  -36.7     17   0.38    284     43  324.9  326.4  325.0
  426.2   7010  -18.4  -39.3     14   0.30    285     43  325.1  326.2  325.1
  421.0   7102  -19.1  -42.1     11   0.23    283     44  325.3  326.2  325.3
  416.0   7190  -19.7  -33.7     28   0.54    281     44  325.6  327.7  325.7
  412.0   7262  -20.3  -34.3     28   0.51    280     45  325.8  327.7  325.9
  400.0   7480  -21.5  -32.5     36   0.63    275     46  327.0  329.3  327.1
  395.0   7573  -21.9  -32.9     36   0.61    268     51  327.6  329.9  327.7
  392.5   7620  -22.1  -34.5     31   0.52    265     54  328.0  330.0  328.1
  385.0   7762  -22.5  -39.5     20   0.32    266     52  329.2  330.5  329.3
  381.0   7839  -22.5  -38.5     22   0.36    267     52  330.2  331.6  330.3
  373.0   7995  -23.9  -43.9     14   0.21    269     50  330.4  331.2  330.4
  361.0   8233  -26.3  -41.3     23   0.29    271     47  330.3  331.4  330.3
  359.0   8273  -26.5  -39.5     28   0.35    271     47  330.5  331.9  330.6
  354.0   8375  -26.7  -31.7     63   0.77    272     46  331.6  334.5  331.7
  343.0   8602  -29.1  -32.0     76   0.77    275     43  331.3  334.2  331.5
  336.0   8750  -29.9  -34.1     67   0.64    276     41  332.2  334.6  332.3
  326.0   8965  -31.5  -34.9     72   0.61    278     39  332.9  335.2  333.0
  317.9   9144  -32.7  -37.8     61   0.47    280     37  333.6  335.4  333.6
  313.0   9253  -33.5  -39.5     55   0.40    281     37  334.0  335.6  334.1
  300.0   9550  -35.7  -40.6     61   0.37    285     38  334.9  336.4  335.0
  291.3   9754  -37.0  -42.0     60   0.33    280     35  335.8  337.2  335.9
  291.0   9761  -37.1  -42.1     60   0.33    280     35  335.9  337.2  335.9
  273.0  10198  -41.1  -45.0     66   0.25    278     37  336.3  337.3  336.3
  268.0  10323  -42.1  -46.8     60   0.21    277     38  336.6  337.5  336.6
  262.0  10476  -43.3  -47.0     67   0.21    277     38  337.0  337.9  337.1
  250.0  10790  -45.3  -52.3     45   0.12    275     40  338.6  339.1  338.6
  239.0  11089  -47.7  -54.7     44   0.10    266     41  339.4  339.8  339.4
  233.0  11257  -49.1  -56.1     44   0.08    260     41  339.7  340.1  339.7
  224.0  11514  -51.5  -63.5     22   0.03    252     42  339.9  340.0  339.9
  221.6  11582  -52.1  -63.9     23   0.03    250     42  340.0  340.2  340.0
  200.0  12240  -57.7  -67.7     27   0.02    255     43  341.2  341.3  341.2
  197.0  12335  -58.7  -68.7     26   0.02    255     44  341.1  341.2  341.1
  191.9  12497  -59.9  -69.9     26   0.02    255     45  341.8  341.9  341.8
  182.7  12802  -62.1  -72.1     25   0.01    270     32  343.0  343.0  343.0
  182.0  12827  -62.3  -72.3     25   0.01    270     33  343.1  343.1  343.1
  173.0  13139  -62.5  -72.5     25   0.01    273     41  347.8  347.8  347.8
  166.0  13392  -64.5  -75.5     21   0.01    275     48  348.5  348.6  348.5
  159.0  13655  -64.9  -76.9     18   0.01    275     49  352.2  352.2  352.2
  157.0  13732  -63.9  -75.9     18   0.01    275     49  355.1  355.2  355.1
  150.0  14010  -65.5  -76.5     20   0.01    275     50  357.1  357.1  357.1
  149.0  14051  -65.7  -76.7     20   0.01    275     50  357.4  357.4  357.4
  146.0  14175  -62.9  -74.9     18   0.01    276     51  364.3  364.4  364.3
  145.0  14217  -62.7  -73.7     21   0.01    277     52  365.4  365.5  365.4
  143.0  14303  -61.1  -74.1     16   0.01    277     52  369.6  369.7  369.6
  137.0  14569  -61.9  -78.9      9   0.01    280     55  372.8  372.8  372.8
  135.7  14630  -61.5  -79.8      7   0.01    280     55  374.5  374.6  374.5
  133.0  14753  -60.7  -81.7      5   0.00    279     53  378.1  378.1  378.1
  126.0  15089  -61.9  -88.9      2   0.00    276     49  381.8  381.8  381.8
  123.0  15240  -61.5  -90.0      1   0.00    275     47  385.3  385.3  385.3
  122.0  15289  -61.3  -90.3      1   0.00    275     46  386.4  386.4  386.4
  115.0  15654  -63.1  -93.1      1   0.00    275     42  389.7  389.7  389.7
  113.0  15762  -62.1  -92.1      1   0.00    275     40  393.5  393.5  393.5
  111.0  15872  -62.7  -92.7      1   0.00    275     39  394.4  394.4  394.4
