72249 FWD Ft Worth Observations at 00Z 16 Feb 2021
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1002.0    171  -11.5  -17.5     61   0.97    315      9  261.5  264.2  261.6
 1000.0    207  -11.5  -19.5     52   0.82    310     10  261.6  264.0  261.8
  999.0    215  -11.5  -19.5     52   0.82    310     10  261.7  264.1  261.9
  992.0    269  -12.1  -20.1     51   0.79    312     11  261.6  263.9  261.8
  948.2    610  -15.4  -21.1     62   0.75    325     18  261.6  263.8  261.8
  925.0    798  -17.3  -21.7     69   0.73    330     20  261.6  263.7  261.7
  910.8    914  -18.2  -22.1     72   0.72    330     21  261.8  263.9  261.9
  910.0    920  -18.3  -22.1     72   0.72    330     21  261.8  263.9  261.9
  893.0   1062  -16.5  -22.5     60   0.71    332     21  265.1  267.1  265.2
  874.5   1219  -16.9  -22.4     62   0.73    335     22  266.2  268.4  266.4
  858.0   1362  -17.3  -22.3     65   0.75    335     24  267.3  269.5  267.4
  850.0   1432  -16.5  -22.5     60   0.74    335     25  268.9  271.1  269.0
  847.0   1459  -16.1  -22.1     60   0.77    333     25  269.5  271.8  269.7
  828.0   1630  -15.3  -27.3     35   0.50    323     25  272.1  273.7  272.2
  816.0   1740  -15.1  -26.1     39   0.56    316     26  273.5  275.2  273.6
  808.0   1814  -14.1  -25.1     39   0.62    311     26  275.3  277.2  275.4
  806.4   1829  -14.1  -25.0     39   0.63    310     26  275.4  277.4  275.6
  795.0   1937  -14.3  -24.3     42   0.68    306     27  276.4  278.5  276.5
  782.0   2063  -12.7  -21.7     47   0.87    302     28  279.4  282.1  279.6
  774.8   2134  -10.4  -20.8     42   0.94    300     29  282.6  285.6  282.8
  772.0   2161   -9.5  -20.5     40   0.98    300     30  283.9  286.9  284.1
  751.0   2375   -6.5  -19.5     35   1.09    296     39  289.4  292.9  289.6
  745.0   2438   -6.4  -19.1     36   1.14    295     41  290.1  293.7  290.3
  732.0   2575   -6.3  -18.3     38   1.24    295     40  291.7  295.7  291.9
  716.4   2743   -7.5  -18.6     41   1.24    295     39  292.1  296.1  292.4
  700.0   2923   -8.9  -18.9     44   1.23    290     40  292.6  296.5  292.8
  671.0   3249  -10.9  -19.9     47   1.18    286     40  293.9  297.7  294.1
  649.0   3505  -12.7  -18.7     61   1.35    282     41  294.7  299.0  294.9
  636.0   3658  -13.9  -19.9     60   1.24    280     41  295.0  299.0  295.2
  632.0   3707  -14.3  -20.3     60   1.21    279     41  295.1  299.0  295.3
  622.0   3827  -15.3  -18.9     74   1.39    277     43  295.3  299.8  295.6
  612.0   3950  -16.1  -20.2     71   1.26    275     44  295.8  299.8  296.0
  611.0   3962  -16.2  -20.5     69   1.23    275     44  295.8  299.8  296.0
  594.0   4174  -17.7  -25.7     50   0.80    275     45  296.4  299.1  296.6
  586.6   4267  -18.5  -26.5     49   0.75    275     45  296.6  299.1  296.7
  575.0   4416  -19.7  -27.7     49   0.69    274     45  296.9  299.2  297.0
  566.0   4533  -20.5  -29.5     44   0.59    273     45  297.3  299.3  297.4
  553.0   4704  -21.5  -37.5     22   0.28    271     46  298.1  299.0  298.1
  545.0   4812  -21.9  -36.9     24   0.30    271     46  298.8  299.9  298.9
  540.2   4877  -22.1  -34.2     32   0.39    270     46  299.4  300.7  299.4
  540.0   4880  -22.1  -34.1     33   0.40    270     46  299.4  300.8  299.4
  519.0   5170  -24.7  -32.7     47   0.47    280     46  299.6  301.3  299.7
  518.1   5182  -24.8  -32.8     47   0.47    280     46  299.7  301.3  299.8
  509.0   5311  -25.7  -33.7     47   0.44    280     48  300.1  301.6  300.2
  500.0   5440  -26.5  -37.5     35   0.31    280     51  300.7  301.8  300.7
  499.0   5454  -26.7  -37.7     35   0.30    280     52  300.6  301.7  300.6
  490.0   5586  -27.3  -43.3     20   0.17    280     56  301.4  302.1  301.5
  467.0   5932  -27.9  -46.9     15   0.12    280     69  304.9  305.3  304.9
  456.5   6096  -27.4  -52.4      7   0.07    280     75  307.4  307.7  307.4
  453.0   6151  -27.3  -54.3      6   0.05    280     77  308.3  308.5  308.3
  437.5   6401  -27.8  -50.1     10   0.09    280     86  310.8  311.1  310.8
  433.0   6476  -27.9  -48.9     12   0.10    280     86  311.5  311.9  311.5
  400.0   7040  -32.9  -49.9     17   0.10    280     86  312.1  312.6  312.2
  367.8   7620  -37.6  -53.2     18   0.07    275     92  313.4  313.7  313.4
  357.0   7827  -39.3  -54.4     19   0.07    275     92  313.8  314.1  313.8
  356.0   7846  -39.5  -54.5     19   0.07    275     92  313.9  314.1  313.9
  351.9   7925  -40.1  -55.2     18   0.06    275     92  314.1  314.4  314.1
  329.0   8380  -43.3  -59.3     15   0.04    275     77  315.8  315.9  315.8
  321.6   8534  -42.8  -64.3      8   0.02    275     72  318.5  318.6  318.5
  317.0   8630  -42.5  -67.5      5   0.01    275     72  320.3  320.3  320.3
  302.0   8956  -43.9  -76.9      1   0.00    275     72  322.8  322.8  322.8
  300.0   9000  -43.9  -76.9      1   0.00    275     72  323.4  323.4  323.4
  293.6   9144  -43.8  -77.6      1   0.00    270     76  325.5  325.5  325.5
  283.0   9393  -43.7  -78.7      1   0.00    270     75  329.1  329.1  329.1
  256.0  10063  -47.1  -78.1      2   0.00    270     73  333.6  333.7  333.6
  250.0  10220  -47.5  -77.5      2   0.00    270     72  335.3  335.3  335.3
  246.0  10327  -47.7  -77.7      2   0.00    269     72  336.6  336.6  336.6
  228.0  10832  -45.7  -80.7      1   0.00    266     72  347.0  347.0  347.0
  220.0  11070  -47.1  -82.1      1   0.00    264     71  348.4  348.4  348.4
  208.0  11441  -48.3  -82.3      1   0.00    262     71  352.1  352.2  352.1
  200.0  11700  -48.5  -82.5      1   0.00    260     71  355.8  355.8  355.8
  185.5  12192  -49.6  -83.6      1   0.00    260     73  361.8  361.8  361.8
  174.0  12612  -50.5  -84.5      1   0.00    262     70  366.9  367.0  366.9
  150.0  13570  -54.7  -86.7      1   0.00    265     64  375.6  375.6  375.6
  140.0  14009  -56.3  -88.3      1   0.00    264     62  380.3  380.3  380.3
  121.0  14929  -57.7  -89.7      1   0.00    261     58  393.9  393.9  393.9
  115.1  15240  -59.3  -90.3      1   0.00    260     57  396.6  396.6  396.6
  115.0  15248  -59.3  -90.3      1   0.00    260     57  396.7  396.7  396.7
  113.0  15358  -58.9  -89.9      1   0.00    259     56  399.5  399.5  399.5
  109.0  15583  -59.7  -90.7      1   0.00    256     54  402.1  402.1  402.1
  105.0  15816  -59.7  -90.7      1   0.00    253     52  406.4  406.4  406.4
  103.0  15936  -59.1  -90.1      1   0.00    252     51  409.8  409.8  409.8
  100.0  16120  -60.1  -91.1      1   0.00    250     49  411.3  411.3  411.3
   90.4  16748  -61.5  -92.5      1   0.00    248     47  420.6  420.6  420.6
   87.0  16987  -59.7  -90.7      1   0.00    247     46  428.8  428.8  428.8
   76.1  17816  -64.3  -94.3      1   0.00    245     43  435.9  436.0  435.9
   73.9  17997  -62.9  -92.9      1   0.00    243     38  442.6  442.6  442.6
   70.5  18288  -63.8  -93.8      1   0.00    240     29  446.7  446.7  446.7
   70.0  18330  -63.9  -93.9      1   0.00    250     31  447.3  447.4  447.3
   63.8  18898  -64.6  -94.1      1   0.00    240     41  457.9  457.9  457.9
   57.7  19507  -65.3  -94.3      1   0.00    250     24  469.6  469.6  469.6
   57.6  19519  -65.3  -94.3      1   0.00    250     24  469.8  469.8  469.8
   55.1  19788  -66.9  -95.9      1   0.00    248     31  472.1  472.1  472.1
   53.7  19944  -64.5  -94.5      1   0.00    246     35  481.1  481.2  481.1
   52.2  20117  -64.2  -94.2      1   0.00    245     40  485.8  485.8  485.8
   50.0  20380  -63.7  -93.7      1   0.00    245     32  492.9  493.0  492.9
   45.0  21031  -63.9  -93.9      1   0.00    265     21  507.8  507.8  507.8
   43.8  21191  -63.9  -93.9      1   0.00   -999   -999  511.5  511.5  511.5
