12374 Legionowo/Warsaw Observations at 00Z 06 Feb 2012
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1027.0     96  -18.7  -21.9     76   0.65     30      4  252.5  254.3  252.6
 1003.0    274  -20.1  -22.3     83   0.64     65     10  252.8  254.6  252.9
 1000.0    296  -20.3  -22.3     84   0.64     70     10  252.8  254.6  252.9
  990.0    370  -20.9  -22.3     88   0.65     69     10  253.0  254.8  253.1
  940.0    757  -16.5  -19.9     75   0.84     65     13  261.2  263.6  261.4
  934.0    805  -16.4  -19.9     74   0.85     65     14  261.8  264.2  261.9
  925.0    878  -16.3  -19.9     74   0.86     70     14  262.6  265.1  262.8
  906.0   1034  -15.9  -20.9     65   0.80     77     14  264.6  266.9  264.7
  885.0   1210  -16.5  -22.2     62   0.74     85     14  265.7  267.9  265.9
  873.0   1313  -16.9  -22.9     60   0.70     83     14  266.4  268.4  266.5
  853.0   1487  -16.9  -38.9     13   0.16     80     14  268.2  268.7  268.2
  850.0   1513  -17.1  -39.1     13   0.15     80     14  268.2  268.7  268.2
  834.0   1655  -17.7  -32.3     27   0.31     80     16  269.0  270.0  269.1
  820.0   1782  -18.3  -26.3     49   0.55     90     16  269.7  271.4  269.8
  768.0   2273  -16.5  -18.3     86   1.18    131     19  276.8  280.3  276.9
  741.0   2541  -18.7  -18.9     98   1.17    153     20  277.2  280.7  277.4
  719.0   2767  -15.7  -27.7     35   0.55    172     21  282.9  284.7  283.0
  715.0   2809  -15.9  -27.2     37   0.58    175     21  283.1  285.0  283.2
  707.0   2894  -16.3  -26.3     42   0.64    175     22  283.6  285.6  283.7
  700.0   2969  -16.3  -30.3     29   0.44    175     23  284.4  285.9  284.5
  692.0   3055  -16.3  -36.3     16   0.25    177     24  285.3  286.2  285.4
  663.0   3376  -17.9  -36.9     17   0.25    184     28  287.1  287.9  287.1
  619.0   3876  -22.3  -37.3     24   0.25    195     33  287.7  288.6  287.8
  549.0   4751  -29.9  -37.9     46   0.27    195     37  288.7  289.6  288.8
  525.0   5068  -31.9  -44.9     26   0.13    195     39  290.0  290.5  290.0
  500.0   5410  -34.9  -44.9     35   0.14    195     41  290.4  290.9  290.4
  485.0   5622  -36.9  -43.9     48   0.16    194     42  290.5  291.1  290.5
  466.0   5897  -38.3  -43.3     59   0.18    192     43  292.1  292.7  292.1
  421.0   6588  -44.1  -51.1     46   0.08    187     45  293.3  293.6  293.3
  400.0   6930  -45.3  -61.3     15   0.02    185     47  296.0  296.1  296.0
  396.0   6997  -45.5  -62.1     14   0.02    185     47  296.6  296.7  296.6
  365.0   7541  -47.3  -68.3      7   0.01    187     47  301.2  301.3  301.2
  350.0   7818  -48.5  -68.5      8   0.01    188     47  303.2  303.3  303.2
  316.0   8485  -53.5  -72.6      8   0.01    190     47  305.2  305.2  305.2
  315.0   8506  -53.7  -72.7      8   0.01    190     47  305.3  305.3  305.3
  300.0   8820  -54.7  -73.7      8   0.01    190     47  308.1  308.2  308.1
  290.0   9034  -55.5  -73.6      9   0.01    185     43  309.9  310.0  309.9
  270.0   9486  -57.3  -73.3     11   0.01    195     31  313.8  313.8  313.8
  250.0   9970  -57.1  -72.1     13   0.01    205     27  321.1  321.1  321.1
  241.0  10203  -57.3  -73.5     11   0.01    210     21  324.1  324.1  324.1
  231.0  10473  -57.6  -75.1      9   0.01    200     25  327.6  327.7  327.6
  200.0  11390  -58.5  -80.5      4   0.00    205     31  340.0  340.0  340.0
  183.0  11952  -58.3  -82.8      3   0.00    220     25  349.0  349.0  349.0
  150.0  13210  -57.9  -87.9      1   0.00    220     29  370.1  370.1  370.1
  138.0  13732  -58.1  -88.1      1   0.00    210     31  378.7  378.7  378.7
  117.0  14766  -58.5  -88.5      1   0.00    235     31  396.2  396.2  396.2
  100.0  15750  -58.9  -88.9      1   0.00    235     31  413.6  413.7  413.6
   95.0  16074  -57.7  -88.3      1   0.00    220     31  422.2  422.2  422.2
   86.1  16696  -55.3  -87.3      1   0.00    225     37  439.0  439.0  439.0
   70.0  18010  -57.3  -89.3      1   0.00    235     51  461.4  461.5  461.4
   67.7  18221  -57.5  -89.5      1   0.00    236     50  465.4  465.5  465.4
   63.0  18679  -54.5  -87.5      1   0.00    238     49  481.7  481.7  481.7
   50.0  20160  -54.7  -86.7      1   0.00    245     45  514.1  514.2  514.1
   48.0  20420  -54.3  -87.0      1   0.00    250     43  521.2  521.2  521.2
   47.3  20514  -54.1  -87.1      1   0.00    249     43  523.8  523.8  523.8
   39.0  21741  -54.8  -87.3      1   0.00    240     41  551.8  551.8  551.8
   30.0  23410  -55.7  -87.7      1   0.01    250     49  592.2  592.3  592.2
   23.0  25101  -56.5  -88.5      1   0.01    260     45  636.6  636.7  636.6
   20.0  25990  -56.9  -88.9      1   0.01    260     43  661.3  661.3  661.3
   17.9  26691  -57.9  -88.9      1   0.01    262     42  679.4  679.5  679.4
   14.0  28247  -56.3  -88.0      1   0.01    265     39  734.3  734.4  734.3
   13.0  28716  -55.8  -87.8      1   0.01    265     43  751.7  751.8  751.7
   12.8  28814  -55.7  -87.7      1   0.01   -999   -999  755.4  755.5  755.4
