14240 LDDD Zagreb Observations at 12Z 19 Jul 2023
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  998.0    246   31.6   18.6     46  13.70    230      2  304.9  346.1  307.4
  925.0    797   24.6   16.6     61  13.01    265      4  304.5  343.5  306.8
  924.0    807   24.4   16.4     61  12.86    263      4  304.4  342.9  306.7
  920.0    845   25.8   12.8     44  10.19    257      4  306.2  337.1  308.0
  885.0   1185   23.2   11.2     47   9.52    200      4  306.9  336.0  308.6
  882.0   1214   23.2    8.2     38   7.79    195      4  307.2  331.2  308.6
  850.0   1535   20.6    8.6     46   8.31    140      4  307.7  333.3  309.2
  839.0   1647   19.8    7.5     45   7.81      0      0  308.0  332.1  309.4
  807.0   1981   17.2    4.2     42   6.45    333      3  308.7  328.8  309.9
  718.0   2963    8.4    7.9     97   9.40    250     12  309.5  338.5  311.2
  715.0   2998    9.2    5.7     79   8.10    253     13  310.8  336.0  312.3
  705.0   3115    8.9    3.8     70   7.17    265     17  311.7  334.2  313.1
  700.0   3174    8.8    2.8     66   6.73    260     19  312.2  333.4  313.5
  686.0   3341    7.8    1.8     66   6.41    245     23  312.9  333.3  314.1
  674.0   3487    7.0    1.0     66   6.14    253     24  313.6  333.1  314.7
  658.0   3681    5.5   -0.7     65   5.57    265     25  314.0  331.9  315.1
  633.0   3994    3.0   -3.3     63   4.75    255     27  314.8  330.1  315.7
  574.0   4784   -3.1  -10.1     58   3.11    261     37  316.5  326.8  317.1
  509.0   5723  -10.5  -13.2     81   2.73    269     49  318.6  327.8  319.1
  500.0   5860  -11.3  -15.9     69   2.23    270     51  319.2  326.8  319.6
  468.0   6363  -15.3  -17.0     87   2.17    275     54  320.3  327.8  320.7
  467.0   6379  -15.4  -17.5     84   2.08    275     54  320.4  327.6  320.8
  449.0   6674  -16.7  -26.7     42   0.96    274     52  322.4  325.9  322.6
  435.0   6911  -18.3  -29.3     37   0.78    273     50  323.3  326.2  323.4
  400.0   7530  -22.5  -43.5     13   0.20    270     45  325.7  326.5  325.7
  393.0   7660  -23.5  -43.5     14   0.21    272     43  326.0  326.8  326.0
  370.0   8099  -25.4  -47.6     11   0.14    280     37  329.1  329.7  329.2
  362.0   8259  -26.1  -49.1     10   0.12    281     38  330.3  330.8  330.3
  328.0   8965  -31.9  -55.9      7   0.06    288     41  331.7  332.0  331.8
  319.0   9162  -33.7  -43.7     36   0.25    289     42  331.9  332.9  331.9
  316.0   9228  -34.2  -43.8     37   0.25    290     43  332.0  333.0  332.1
  300.0   9590  -37.3  -44.3     48   0.25    280     51  332.7  333.7  332.7
  298.0   9636  -37.9  -43.9     53   0.26    280     51  332.5  333.5  332.5
  263.0  10484  -45.1  -49.8     59   0.15    287     52  334.0  334.6  334.0
  251.0  10794  -47.7  -54.5     45   0.09    290     52  334.7  335.1  334.7
  250.0  10820  -47.9  -54.9     44   0.09    290     52  334.7  335.1  334.7
  249.0  10846  -48.1  -55.1     44   0.09    289     52  334.8  335.2  334.8
  248.0  10873  -48.3  -56.3     39   0.08    289     52  334.9  335.2  334.9
  246.0  10926  -46.7  -59.7     21   0.05    288     51  338.1  338.3  338.1
  232.0  11308  -48.9  -57.4     36   0.07    280     45  340.5  340.8  340.5
  217.0  11744  -51.3  -54.8     66   0.10    280     58  343.3  343.7  343.3
  212.0  11895  -51.7  -65.7     17   0.03    280     62  344.9  345.1  344.9
  210.0  11956  -52.3  -65.3     19   0.03    280     64  344.9  345.1  344.9
  207.0  12048  -51.9  -65.9     17   0.03    277     66  347.0  347.1  347.0
  205.0  12111  -52.3  -55.3     70   0.10    275     67  347.3  347.8  347.4
  203.0  12174  -51.7  -69.7     10   0.02    273     68  349.2  349.3  349.2
  202.0  12206  -51.5  -78.5      3   0.00    272     69  350.1  350.1  350.1
  200.0  12270  -51.9  -73.9      5   0.01    270     70  350.4  350.5  350.4
  181.0  12917  -52.4  -76.7      4   0.01    270     84  359.8  359.8  359.8
  171.0  13285  -52.6  -78.4      3   0.01    270     70  365.2  365.3  365.2
  162.0  13635  -52.9  -79.9      2   0.00    270     76  370.5  370.5  370.5
  156.0  13878  -54.2  -80.7      2   0.00    270     80  372.3  372.4  372.3
  150.0  14130  -55.5  -81.5      3   0.00    275     64  374.2  374.3  374.2
  135.0  14787  -58.0  -82.8      3   0.00    260     41  381.2  381.2  381.2
  100.0  16660  -65.3  -86.3      4   0.00    260     49  401.3  401.3  401.3
   98.7  16739  -65.7  -86.7      4   0.00    260     45  402.0  402.0  402.0
   96.0  16911  -64.2  -86.9      3   0.00    255     45  408.2  408.3  408.2
   93.0  17108  -62.4  -87.2      2   0.00    265     49  415.5  415.5  415.5
   84.3  17716  -56.9  -87.9      1   0.00    294     17  438.4  438.4  438.4
   84.0  17738  -57.0  -87.9      1   0.00    295     16  438.6  438.6  438.6
   81.0  17966  -58.1  -88.2      1   0.00    285     10  440.9  440.9  440.9
   80.0  18044  -58.5  -88.4      1   0.00    265      8  441.7  441.7  441.7
   79.0  18123  -58.9  -88.5      1   0.00    240     12  442.5  442.5  442.5
   76.9  18292  -59.7  -88.7      1   0.00    253     17  444.2  444.2  444.2
   75.0  18449  -59.4  -88.7      1   0.00    265     21  448.0  448.0  448.0
   72.0  18704  -59.0  -88.7      1   0.00    255     21  454.1  454.2  454.1
   70.0  18880  -58.7  -88.7      1   0.00    275     16  458.5  458.5  458.5
   68.0  19064  -58.4  -88.5      1   0.00    275     10  463.0  463.0  463.0
   63.0  19547  -57.5  -88.1      1   0.00      0      0  475.1  475.1  475.1
   61.0  19751  -57.1  -88.0      1   0.00    180     10  480.3  480.3  480.3
   58.0  20070  -56.6  -87.7      1   0.00    225     16  488.6  488.6  488.6
   56.0  20293  -56.2  -87.5      1   0.00    315     10  494.4  494.4  494.4
   50.0  21010  -54.9  -86.9      1   0.00     45      8  513.7  513.7  513.7
   49.0  21140  -54.7  -86.8      1   0.00     95     12  517.0  517.1  517.0
   48.0  21273  -54.6  -86.8      1   0.00    105     10  520.5  520.5  520.5
   46.0  21546  -54.2  -86.7      1   0.00     80      2  527.7  527.7  527.7
   43.0  21980  -53.7  -86.5      1   0.01    100     10  539.3  539.4  539.3
   42.0  22132  -53.5  -86.5      1   0.01    120     12  543.4  543.5  543.4
   36.0  23123  -52.2  -86.1      1   0.01     65     10  571.1  571.2  571.1
   35.5  23213  -52.1  -86.1      1   0.01     75     13  573.7  573.8  573.7
   35.0  23305  -52.4  -86.2      1   0.01     85     16  575.4  575.4  575.4
   34.0  23492  -52.9  -86.3      1   0.01    125     16  578.7  578.7  578.7
   33.0  23684  -53.5  -86.5      1   0.01    145     12  582.1  582.2  582.1
   32.0  23883  -52.9  -86.6      1   0.01     80     10  588.8  588.9  588.8
   31.0  24088  -52.3  -86.6      1   0.01     90     19  595.8  595.9  595.8
   30.0  24300  -51.7  -86.7      1   0.01     95     17  603.1  603.2  603.1
   29.0  24521  -51.0  -86.3      1   0.01     85     19  610.9  610.9  610.9
   27.0  24987  -49.6  -85.4      1   0.01    110     23  627.5  627.6  627.5
   26.4  25133  -49.1  -85.1      1   0.01    109     24  632.9  633.0  632.9
   24.0  25756  -49.5  -85.5      1   0.01    105     27  649.0  649.1  649.0
   23.0  26035  -49.8  -85.8      1   0.01    115     16  656.4  656.5  656.4
   22.0  26325  -50.0  -86.0      1   0.01     90     16  664.1  664.2  664.1
   21.4  26506  -50.1  -86.1      1   0.01     99     18  669.0  669.1  669.0
   20.0  26950  -47.7  -85.7      1   0.01    120     23  689.4  689.5  689.4
   19.0  27296  -47.0  -85.3      1   0.01    120     17  701.9  702.1  701.9
   18.0  27660  -46.1  -84.8      0   0.02     85     19  715.3  715.5  715.4
   16.0  28454  -44.4  -83.8      0   0.02    120     25  745.5  745.7  745.5
   14.0  29354  -42.5  -82.7      0   0.03     95     19  781.1  781.5  781.1
   13.0  29853  -41.4  -82.0      0   0.04     80     25  801.6  802.0  801.6
   12.0  30393  -40.2  -81.3      0   0.04     90     33  824.3  824.8  824.3
   10.4  31357  -38.1  -80.1      0   0.06     90     30  866.4  867.2  866.4
   10.2  31491  -38.1  -80.1      0   0.06     90     30  871.2  872.1  871.3                    
